time_bin,yolov5l,yolov5m,yolov5n,yolov5s,yolov5x
0,76.4,21.8,0.0,0.0,1.7999999999999998
1,90.60000000000001,0.0,0.0,0.0,9.4
2,97.0,0.0,0.0,0.0,3.0
3,17.2,79.80000000000001,0.0,1.2,1.7999999999999998
4,1.6,27.200000000000003,0.0,70.39999999999999,0.8
5,0.8,0.8,0.0,97.39999999999999,1.0
6,1.0,0.8,92.60000000000001,5.2,0.4
7,0.6,1.6,57.199999999999996,40.2,0.4
8,1.4000000000000001,0.0,7.8,90.2,0.6
9,0.0,0.0,44.4,54.0,1.6
10,0.6,18.4,0.0,80.80000000000001,0.2
11,0.0,23.200000000000003,0.0,76.8,0.0
12,0.0,21.8,0.0,78.2,0.0
13,0.0,22.400000000000002,0.0,77.60000000000001,0.0
14,0.0,20.200000000000003,0.0,79.80000000000001,0.0
15,0.0,20.4,0.0,79.60000000000001,0.0
16,0.0,24.8,0.0,75.2,0.0
17,0.0,21.4,0.0,78.60000000000001,0.0
18,0.0,23.200000000000003,0.0,76.8,0.0
19,0.0,23.0,0.0,77.0,0.0
